Landing Page,Impressions,Url Clicks,URL CTR,title,subtitle,date_published,date_updated
https://www.israelhayom.co.il/opinions/article/16447578,58490,5136,0.08780988203,מדוע קרסה שביתת המורים,"אם רן ארז היה משכיל לרתום למאבק המורים את כוחם ואת השפעתם של המנהלות והמנהלים במקום להפוך אותם לאויבים, המאבק היה מצליח",2024-09-16T01:33:21.000Z,2024-09-16T01:34:20.000Z
https://www.israelhayom.co.il/opinions/article/15815932,61562,5383,0.08744030408,משרד החינוך ממשיך להוריד את הרף,האם בגלל מחסור במורים נייצר סטנדרט נמוך של אנשי חינוך שהוכשרו פחות? מי ירצה לעבוד בתחום שבו מראש לא חשוב כמה אתה מוכשר?,2024-05-27T06:42:21.000Z,2024-05-27T06:42:21.000Z
https://www.israelhayom.co.il/opinions/article/15215621,90039,4609,0.05118892924,"כך נתגמל את לוחמינו: נדל""ן","הפזורה הבלתי חוקית בנגב, שבה מתגוררים כ־85 אלף בדואים, פחות מ־1% מאוכלוסיית ישראל, תופסת שטח הגדול פי 11.5 מת""א, שבה מתגוררים כ־460 אלף תושבים • יש לכך פתרון",2024-02-05T05:27:59.000Z,2024-02-05T05:27:59.000Z
https://www.israelhayom.co.il/opinions/article/15355162,122616,10115,0.08249331246,נבואה ירושלמית שחורה,"הירושלמים הלא חרדים בחרו בהמוניהם לנוח ביום השבתון • לצאת לקניות, לטייל ולדלג על חמש דקות הצבעה בקלפי • על הטעות הזו נשלם בחמש השנים הבאות",2024-03-03T00:02:53.000Z,2024-03-03T00:02:53.000Z
https://www.israelhayom.co.il/opinions/article/15094637,98849,5992,0.06061770984,ישראל מתחמשת - סוף־סוף,"מטאטא, קרש או אפילו סכין זה נחמד, אבל כפי שלימדה אותנו ההיסטוריה הקרובה מאוד: אם פורצים אליך לממ""ד - עדיף בהחלט שזה יהיה אקדח או רובה",2024-01-14T06:48:44.000Z,2024-01-14T06:48:44.000Z
https://www.israelhayom.co.il/opinions/article/16709312,93951,1535,0.01633830401,שנה אקדמית חדשה: בינה מלאכותית אמיתית,"על אף החששות והסוגיות האתיות, מוסדות אקדמיים שלא יתעדכנו בחידושים בתחום יישארו מאחור, ועם הזמן יהפכו לבלתי רלוונטיים",2024-11-02T20:23:03.000Z,2024-11-02T20:23:55.000Z
https://www.israelhayom.co.il/opinions/article/15846367,126594,16654,0.1315544181,הטבח בבת חפר,"יש לנו את הכלים למחוץ ולאדות את הנאצים עם הכפכפים מטולכרם שמסכנים גם את תושבי נתניה, בלי לסכן חייל יהודי אחד • אבל אנחנו לא נעשה את זה, כי זאת לא אופציה",2024-06-02T04:45:51.000Z,2024-06-02T04:45:51.000Z
https://www.israelhayom.co.il/opinions/article/16437165,87298,3878,0.04442255264,נצרת: אשפה ללא בשורה,"ערימות האשפה ברחובות העיר, שבה חיים כ־100 אלף תושבים, בלתי ניתנות להתעלמות •במילה אחת קוראים לזה - משילות, וזו הזדמנות להוכיח שיש כזאת • זה הזמן להפעיל ריבונות ולטפל בהתעלמות מפגיעה באיכות חיי אדם או מהמשך ההתעלמות משליטת גורמים מפוקפקים בסמלי שלטון במדינת ישראל",2024-09-13T18:20:38.000Z,2024-09-13T18:22:18.000Z
https://www.israelhayom.co.il/opinions/article/16643261,65316,10135,0.1551687182,"""ושאף אחד לא יקרא לי ימנית""","עוד לפני מתקפת חמאס, כשהאתגרים היו טרור חקלאי ודמי חסות, בתנועה הקיבוצית נמנעו מפרגמטיזם ונסחפו אחרי אג'נדות שהכתיבו מי שלא חיו בצפון ובדרום",2024-10-21T03:56:49.000Z,2024-10-21T16:52:50.000Z
https://www.israelhayom.co.il/opinions/article/15795539,139862,10179,0.07277888204,מורה אינה אשת הייטק,רוב המורים המתאימים כלל לא מעלים בדעתם לאייש תפקיד ניהולי • דרושים שינוי חברתי והבהרת הגבולות ביחס שבין סגלי ההוראה לבין ההורים,2024-05-23T03:31:39.000Z,2024-05-23T03:31:39.000Z
https://www.israelhayom.co.il/opinions/article/15656355,37205,1384,0.03719930117,פרקטיקת הניצחון של חמאס,"השווקים חזרו לפעול, תושבי הרצועה מצטלמים בחוף, צה""ל סיים לתמרן, מעמדה הבינלאומי של ישראל בשפל וחמאס לא נדרש לשום ויתור • איזו סיבה יש להם להתגמש?",2024-04-25T17:04:56.000Z,2024-04-25T17:04:56.000Z
