id,url,title,subtitle,first_paragraph
156481,https://www.makorrishon.co.il/news/826175/,"עד למינוי ראש השב""כ: סגנו ישמש כממלא מקום","נתניהו יראיין מועמדים לתפקיד ראש השב""כ הקבוע, אך כייוון שההליך יימשך עד לאחר סיום תפקידו של רונן בר - סגן ראש השב""כ ימונה באופן זמני לעמוד בראש הארגון","אחרי שביום שני בבוקר, הודיעה לשכת ראש הממשלה על הכוונה למנות את האלוף במיל' אלי שרביט לתפקיד ראש השב""כ, לאחר סיום תפקידו של רונן בר, ואחרי שלמחרת – ביום שלישי בבוקר הודיע ראש הממשלה כי המינוי של שרביט לא ייצא בסופו של דבר לפועל, הבוקר (רביעי) נמסר מהלשכה כי נתניהו ממשיך לראיין מועמדים לתפקיד ראש השב״כ, כולל מועמדים שכבר ראיין. על פי ההודעה מיום שני, ישנם שבעה מועמדים, אך אחד מהם הוא האלוף שרביט."
157025,https://www.makorrishon.co.il/opinion/823082/,"בהתנגשות בין בתי הדין הרבניים לבית המשפט, ההלכה היא שגובה מחיר מהגברים","פסיקת בג""ץ שצמצמה את יכולתם של בתי הדין הרבניים לדון במזונות ילדים, מבטאת היפוך מגמה: בעוד הדיינים נצמדים להלכה שהטילה את פרנסת הילדים על האב בלבד – השופטים, ובעיקר השופטות, מכירים בשיפור מעמדן הכלכלי של הנשים ובתמורות שחלו בתפיסת ההורות","לפני כשבועות אחדים ניתן בבג""ץ פסק־דין שקבע כי בתי הדין הרבניים אינם מוסמכים לדון בתביעת מזונות ילדים ה""כרוכה"" בתביעת הגירושין, אלא רק באופן מצומצם. אף שהמחוקק קבע במפורש כי כאשר מוגשת תביעת גירושין, תהיה לבית הדין סמכות לדון ""בכל ענין הכרוך בתביעת הגירושין, לרבות מזונות לאישה ולילדי הזוג"", בג""ץ גרס כי סמכות זו מוגבלת מאוד. זאת בהתבסס על הלכה נושנה שנקבעה בבית המשפט העליון בשנת 1969, ""הלכת שרגאי"". הפסיקה חוללה סערת רוחות, בשבוע שעבר התכנסה ועדת השרים לענייני חקיקה והחליטה על ""חוק עוקף בג""ץ"", ובית הדין הגיש בקשה לדיון נוסף."
157069,https://www.makorrishon.co.il/judaism/825487/,"""בלי אמפתיה בסיסית לחברה החרדית לא נגיע לפתרון""","כדי להתווכח עם החרדים, טוען ההוגה החרדי מנחם נאבת בספרו החדש, צריך להכיר ברצינות את השקפת עולמם. הוא מסביר מדוע הציונות הדתית מבקרת את החרדים בחריפות רבה יותר מהחילונים, ומסכים שההסתגרות מסכנת את החברה החרדית עצמה","הרב מנחם נַאבֶּת התפרסם במהלך השנים, לפחות בתחומי העולם הדתי והחרדי, כהוגה מקורי ועצמאי, בעיקר בעקבות כתיבתו הרבה בפייסבוק. פוסטים שכתב – בזכות היפתחות של החברה החרדית, או נגד פגיעה בערבים – עוררו דיונים רבים. אבל מאז 7 באוקטובר הוא השתדל להימנע מהתבטאות בנושאים ציבוריים, בעיקר כאלה שמעוררים מחלוקת: ""הרגשתי שהכול כל־כך רגיש, שמה שלא אכתוב לא יתקבל בצורה מובנת וטובה"", הוא אומר. עכשיו הוא חוזר לבמה הציבורית ביתר שאת, עם ספר חדש בשם ""חרדים אל דברו"", שבו הוא מבטא דווקא את הפן החרדי־שמרני שלו, ומשתדל להסביר לחברה הישראלית את העמדה החרדית, תוך שימוש בידע הפילוסופי שרכש."
157086,https://www.makorrishon.co.il/news/787683/,כוננות גבוהה בכל הארץ לאחר חיסול נסראללה,"צה""ל אישר לפני הצהריים רשמית כי מנהיג חיזבאללה חוסל בתקיפה עוצמתית של חיל האוויר. הירי לצפון גבר במשך היום, ואחר הצהריים ירו החות'ים טיל לעבר אזור המרכז - שיורט | פיקוד העורף בהנחיות חדשות","מתיחות גבוהה וכוננות מוגברת בכל רחבי הארץ לאחר חיסולו של מנהיג ארגון הטרור חיזבאללה, חסן נסראללה, אתמול אחר הצהריים בדאחייה של ביירות."
157086,https://www.makorrishon.co.il/international/827225/,"שליחת ארה""ב: חיזבאללה צריך להתפרק מנשקו – באחריות צבא לבנון","סגנית השליח למזרח התיכון בראיון לשדרן לבנוני: ""ברור שישראל לא הולכת לקבל מצב שבו יורים עליה טרוריסטים לתוך המדינה שלהם, וזו עמדה שאנחנו מבינים"". את הלחצים, כך היא מספרת, היא מפעילה רק על ממשלת לבנון","סגנית השליח האמריקני למזרח התיכון, מורגן אורטאגוס, אמרה בראיון ששודר ביום ראשון כי חיזבאללה וקבוצות חמושות אחרות צריכות להתפרק מנשקן ""בהקדם האפשרי"" וכי מצופה מהכוחות הלבנוניים לבצע את העבודה."
157086,https://www.makorrishon.co.il/news/793158/,חלש אופי ונטול כריזמה: מיהו מחליפו הרשמי של נסראללה,"חיזבאללה הודיע כי נעים קאסם הוא המזכ""ל החדש של ארגון הטרור בלבנון | העיתונאי וחוקר המזרח התיכון ד""ר אדי כהן מסביר: ""נסראללה היה נערץ, אף אחד לא מעריץ את קאסם - הוא בכלל איש דת, לא איש שטח""","""חיסלנו אלפי מחבלים, כולל את נסראללה עצמו, את היורש של נסראללה, ואת היורש של היורש של נסראללה"", אמר ראש הממשלה בנימין נתניהו בסרטון שהפך ויראלי כשהודיע על חיסולו הרשמי של האשם ספי א-דין, מי שסומן כיורש של מנהיג חיזבאללה חסן נסראללה. כך, כיסאו של מזכ""ל חיזבאללה, נותר ריק במשך כמעט חודש: ככל הנראה, אף אחד לא רצה להיות הבא בתור ברשימת החיסולים של צה""ל. אף אחד, עד הבוקר (ג'), כאשר ארגון הטרור בלבנון הודיע כי נעים קאסם מונה למזכ""ל."
157272,https://www.makorrishon.co.il/news/823386/,"תקיפה ישראלית, הסכם או קריסת המשטר: התרחישים לפצצה האיראנית","המשטר האיראני קרוב מאוד לפצצה גרעינית, אך נראה שממשל טראמפ מנסה בינתיים לדבוק באסטרטגיית המו""מ. מה צריך לקרות כדי שזה ישתנה, אילו אפשרויות עומדות בפני ישראל, ומה הסיכוי להביא לנפילת המשטר באיראן? | כתבה שנייה בסדרה","אחת השאלות המעניינות בעניין הגרעין האיראני היא מדוע צריך עלי ח'מינאי, מנהיגה העליון של איראן, את כאב הראש הזה. הלחץ המדיני, הכלכלי ואפילו הצבאי עליו עצום, וכך גם המחירים שארצו משלמת על הבחירה בנתיב הזה. הרי ח'מינאי הוא האיש שמחליט הכול באיראן, והוא גם זה שכתב ההלכה שפרסם אוסר על בניית נשק גרעיני. איך מסבירים את הסתירה הזאת, את ההשקעה העצומה למרות האיסור ההלכתי והמחירים הכבדים, ודווקא בזמן שבו המטבע האיראני רושם שפל נוסף של כל הזמנים ונסחר ברמה של מיליון ריאל לדולר אחד?"
157317,https://www.makorrishon.co.il/news/825236/,"החמקנים הגיעו: האם ארה""ב מתכוננת לתקיפה באיראן?","לווייני צילום זיהו מפציצי B-2, מטוסי תדלוק וכלי טיס תומכים נוספים שנחתו בבסיס דייגו גרסיה, מרחק טיסה מאיראן – רמז להיערכות מבצעית רחבת היקף של ארה""ב","האתר ,TWZ, מדווח היום (ה') על הצטברות משמעותית של מפציצים חמקנים מסוג B-2 Spirit והגעת כלי טיס תומכים רבים לבסיס האמריקני דייגו גרסיה שבאוקיינוס ההודי. האתר מעלה את האפשרות כי הגעת המפציצים עשויה להעיד על היערכות אמריקנית לפעולה צבאית רחבת היקף, ככל הנראה על רקע המתיחות הגוברת מול איראן. על פי מידע שפורסם, לוויינים זיהו לפחות שלושה מטוסי B-2, שבעה מטוסי תדלוק מדגם KC-135, מטוס תובלה C-17 ומטוס סיור ימי מסוג P-8A שהגיעו לבסיס האמריקני האסטרטגי."
157335,https://www.makorrishon.co.il/tag/%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%90%D7%99%D7%99%D7%9B%D7%9C%D7%A8/,תגית: ישראל אייכלר,,"בקואליציה הבינו שהטבות לחינוך החרדי יכולות להחליף את חוק הגיוס המקרטע, והם מנצלים את הלחץ לקראת התקציב כדי לקדם קומבינות ..."
157336,https://www.makorrishon.co.il/tag/%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%90%D7%99%D7%99%D7%9B%D7%9C%D7%A8/,תגית: ישראל אייכלר,,"בקואליציה הבינו שהטבות לחינוך החרדי יכולות להחליף את חוק הגיוס המקרטע, והם מנצלים את הלחץ לקראת התקציב כדי לקדם קומבינות ..."
